Model,TestMatches,Accuracy,MacroPrecision,MacroRecall,MacroF1,WeightedF1,MacroOVRAUC,CV_MacroF1_Mean,CV_MacroF1_SD,CV_Accuracy_Mean,CV_Accuracy_SD
Majority baseline,1900,0.44157894736842107,0.14719298245614035,0.3333333333333333,0.20421078252403554,0.2705255471647355,0.5,0.2096978062470298,0.0052418148104621,0.459078947368421,0.0165935608109836
Logistic Regression basic,1900,0.5168421052631579,0.3957238511533487,0.43907605985789894,0.3824003871942903,0.44401981495933435,0.6310387206260035,0.3713033775027398,0.0083313265991698,0.508421052631579,0.0090244358944643
Random Forest basic,1900,0.5,0.4096327939755395,0.4272640850942877,0.390873788412245,0.4456796915096677,0.619919277591423,0.3851224342952521,0.0083831989852404,0.4961842105263158,0.0067272752795601
Logistic Regression tuned,1900,0.4673684210526316,0.3933088897942052,0.4231076418562197,0.3938766476049554,0.438414589358109,0.6279096507683706,0.4339983527938401,0.0081595067529282,0.4655263157894737,0.0074965365964442
Random Forest tuned,1900,0.4705263157894737,0.4340202532950091,0.44142136558008965,0.43211568491757096,0.46333363065313815,0.6232042786757422,0.4390731324303325,0.0112166689917681,0.4693421052631579,0.0094937652671302
