Season,H,D,A
2001/02,43.42105263157895,26.57894736842105,30.0
2002/03,49.21052631578947,23.684210526315788,27.105263157894736
2003/04,43.94736842105263,28.421052631578945,27.631578947368425
2004/05,45.526315789473685,28.947368421052634,25.526315789473685
2005/06,50.526315789473685,20.263157894736842,29.210526315789476
2006/07,47.89473684210526,25.789473684210527,26.31578947368421
2007/08,46.31578947368421,26.31578947368421,27.368421052631582
2008/09,45.526315789473685,25.526315789473685,28.947368421052634
2009/10,50.78947368421053,25.263157894736842,23.94736842105263
2010/11,47.10526315789474,29.210526315789476,23.684210526315788
2011/12,45.0,24.47368421052632,30.526315789473685
2012/13,43.684210526315795,28.421052631578945,27.89473684210526
2013/14,47.10526315789474,20.526315789473685,32.36842105263158
2014/15,45.26315789473684,24.47368421052632,30.263157894736842
2015/16,41.31578947368421,28.157894736842103,30.526315789473685
2016/17,49.21052631578947,22.105263157894736,28.68421052631579
2017/18,45.526315789473685,26.052631578947366,28.421052631578945
2018/19,47.63157894736842,18.684210526315788,33.68421052631579
2019/20,45.26315789473684,24.210526315789473,30.526315789473685
2020/21,37.89473684210527,21.842105263157897,40.26315789473684
